article_url,all_names
https://www.timescolonist.com/news/local/head-of-sea-lion-seen-in-vic-west-likely-taken-as-trophy-critic-1.24134123,"Vic West,67;Vic West,208;Paul Primus,229;Songhees Walkway,344;Campbell River,656;Pacific Balance Marine Management,959;First Nations,1913;Vancouver Island,2113;Criminal Code,2590;Charlotte Dawe,3040;Vic West,3241;Victoria PhD,3388"
https://www.ledevoir.com/opinion/editoriaux/572177/femmes-autochtones-des-morts-qu-on-ignore,"Duty And Jessica Nadeau Jacques Nadeau,99;Elizabeth Qavavau,1009;Sighted Elizabeth,1122;Judge Jacques,1466;First Nations,1717;Timmiaq Or Daisy,2411"
https://news.yahoo.com/joyce-echaquan-pm-trudeau-decries-161811714.html,"Premier Francois Legault,327;Grand Chief,753;First Nations Quebec,793;Chief Picard,961;Perry Bellegarde,1006;National Chief,1026;First Nations,1059;Joyce Echaquan,1255;First Nations,1282;Perry Bellegarde,1384;First Nations,2508;Allan Adam,2711;British Columbia,2886"
https://winnipeg.ctvnews.ca/inuk-pop-singer-songwriter-kelly-fraser-dead-at-26-1.4745014,"Kelly Fraser,25;Indigenous Music Album,577;Year The,593;Thor Simonsen,1065"
https://aptnnews.ca/2020/03/31/indigenous-lawyer-don-worme-says-upbringing-led-him-to-life-of-fighting-against-injustice/,"Face Host Dennis Ward,478;Indian Affairs,616;Indian Act,653;Indian Agent,884;Indigenous Bar Association,2212;Kawacatoose First Nation,3432;Neil Stonechild,3538;Saskatoon Police Service,3596;Saskatoon Police Service,3986;North West Mounted Police,4472"
https://www.cbc.ca/news/canada/north/kelly-fraser-obituary-1.5409059,"Kelly Fraser,13;First Nations,888;Kelly Fraser,1102;Kelly Fraser,1576"
https://www.indiantime.net/story/2020/05/14/news/canada-dna-discovery-lends-weight-to-first-nations-ancestral-story/34307.html,"Memorial University,819;First Nations,1054;First Nations,1458;Chief Mi El Joe,1726;Miawpukek Mi'kamawey Mawi'omi,1763;Mi'kmaq First Nation,1791;Chief Joe,2818;National Museums Scotland,2910"
https://www.sbs.com.au/news/loved-and-cherished-inuk-singer-songwriter-kelly-fraser-remembered-following-her-death,"Award-winning Inuk,19;Kelly Fraser,50;Kelly Fraser,613;Benjamin Rayner,684;Indigenous Music Awards,1080;Thor Simonsen,1555;Associated Press Ms Fraser,1596"
https://www.thestar.com/news/canada/2020/06/12/chantel-moores-death-deserves-same-kind-of-reaction-as-george-floyd-indigenous-leader-says.html,"George Floyd,146;Chantel Moore,203;Judith Sayers,299;Nuu-Chah-Nulth Tribal Council,351;First Nation,385;George Floyd,517;Powell River,922;Port Alberni,1022;New Brunswick,1086;Chantel Moore,1300;Tla-o-qui-aht First Nation,1357;Vancouver Island,1710;Grace Frank,1904;George Floyd,1980;New Brunswick,2130;Allan Adam,2708"
https://www.919thebend.ca/2020/07/21/more-calls-for-public-inquiry-into-indigenous-deaths/,"New Brunswick,39;Premier Blaine,206;Chantel Moore,383;Rodney Levi,399;First Nations,1174;New Brunswickers,1196"
https://www.cjme.com/2020/09/03/social-services-data-shows-25-youth-died-while-receiving-care-in-2020/,"Social Services,69;Social Services,262;First Nations Child,428;Family Services Agency,455;Social Services,743;Social Services,2031;Brady Lang,2332"
