article_url,counts
https://winnipeg.ctvnews.ca/inuk-pop-singer-songwriter-kelly-fraser-dead-at-26-1.4745014,"KILL#26##4#Sanikiluaq, Nunavut, Canada#CA#CA14#56.5333#-79.2333#448969;CRISISLEX_T03_DEAD#26##4#Sanikiluaq, Nunavut, Canada#CA#CA14#56.5333#-79.2333#448969;"
https://aptnnews.ca/2020/03/31/indigenous-lawyer-don-worme-says-upbringing-led-him-to-life-of-fighting-against-injustice/,KILL#3##1#Canada#CA#CA#60#-96#CA;
https://www.cbc.ca/news/canada/north/kelly-fraser-obituary-1.5409059,"KILL#26##4#Sanikiluaq, Nunavut, Canada#CA#CA14#56.5333#-79.2333#448969;CRISISLEX_T03_DEAD#26##4#Sanikiluaq, Nunavut, Canada#CA#CA14#56.5333#-79.2333#448969;"
https://www.indiantime.net/story/2020/05/14/news/canada-dna-discovery-lends-weight-to-first-nations-ancestral-story/34307.html,KILL#2013##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#2013##1#Canada#CA#CA#60#-96#CA;CRISISLEX_T03_DEAD#2013##1#Canada#CA#CA#60#-96#CA;
https://www.sbs.com.au/news/loved-and-cherished-inuk-singer-songwriter-kelly-fraser-remembered-following-her-death,"KILL#26##4#Sanikiluaq, Nunavut, Canada#CA#CA14#56.5333#-79.2333#448969;CRISISLEX_T03_DEAD#26##4#Sanikiluaq, Nunavut, Canada#CA#CA14#56.5333#-79.2333#448969;"
https://www.thestar.com/news/canada/2020/06/12/chantel-moores-death-deserves-same-kind-of-reaction-as-george-floyd-indigenous-leader-says.html,KILL#26##1#Canada#CA#CA#60#-96#CA;
https://www.919thebend.ca/2020/07/21/more-calls-for-public-inquiry-into-indigenous-deaths/,KILL#3##1#Canada#CA#CA#60#-96#CA;
https://www.cjme.com/2020/09/03/social-services-data-shows-25-youth-died-while-receiving-care-in-2020/,"KILL#19##4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;KILL#25#children#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T03_DEAD#25#children#4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;KILL#5##4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;KILL#13##4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;CRISISLEX_T03_DEAD#13##4#Saskatchewan, Manitoba, Canada#CA#CA03#52.15#-97.7167#-575075;"
https://www.coastreporter.net/news/local-news/montreal-massacre-remembered-in-gibsons-1.24031353,"KILL#14#women#4#Montreal, Quebec, Canada#CA#CA10#45.5#-73.5833#-569541;"
https://www.cbc.ca/news/canada/new-brunswick/john-turnbull-saint-john-court-of-queens-bench-indigenous-logging-rights-1.5577470,"KILL#84##4#Montreal, Quebec, Canada#CA#CA10#45.5#-73.5833#-569541;CRISISLEX_T03_DEAD#84##4#Montreal, Quebec, Canada#CA#CA10#45.5#-73.5833#-569541;"
